,Dataset,Fold,Method,Metric,Patient,Performance
232,V-23_24,3,MMSBM,Precision,136,0.8571428559183674
233,V-23_24,3,MMSBM,Accuracy,136,0.7826086956521738
234,V-23_24,2,MMSBM,Recall,136,0.5714285714285714
235,V-23_24,2,MMSBM,Precision,136,0.571428570612245
236,V-23_24,2,MMSBM,Accuracy,136,0.75
237,V-23_24,4,MMSBM,Recall,136,0.4444444444444444
238,V-23_24,4,MMSBM,Precision,136,0.9999999975
239,V-23_24,4,MMSBM,Accuracy,136,0.782608695652174
240,V-23_24,1,MMSBM,Recall,135,0.7857142857142857
241,V-23_24,1,MMSBM,Precision,135,0.9166666659027777
242,V-23_24,1,MMSBM,Accuracy,135,0.8333333333333333
243,V-23_24,0,MMSBM,Recall,135,0.5
244,V-23_24,0,MMSBM,Precision,135,0.7499999990624999
245,V-23_24,0,MMSBM,Accuracy,135,0.6666666666666667
246,V-23_24,3,MMSBM,Recall,135,0.8181818181818182
247,V-23_24,3,MMSBM,Precision,135,0.749999999375
248,V-23_24,3,MMSBM,Accuracy,135,0.782608695652174
249,V-23_24,2,MMSBM,Recall,135,0.7272727272727273
250,V-23_24,2,MMSBM,Precision,135,0.7272727266115702
251,V-23_24,2,MMSBM,Accuracy,135,0.75
252,V-23_24,4,MMSBM,Recall,135,0.9285714285714286
253,V-23_24,4,MMSBM,Precision,135,0.8666666660888889
254,V-23_24,4,MMSBM,Accuracy,135,0.8695652173913043
255,V-23_24,1,MMSBM,Recall,134,0.7272727272727273
256,V-23_24,1,MMSBM,Precision,134,0.7272727266115702
257,V-23_24,1,MMSBM,Accuracy,134,0.75
258,V-23_24,0,MMSBM,Recall,134,0.625
259,V-23_24,0,MMSBM,Precision,134,0.7692307686390532
260,V-23_24,0,MMSBM,Accuracy,134,0.625
261,V-23_24,3,MMSBM,Recall,134,0.8888888888888888
262,V-23_24,3,MMSBM,Precision,134,0.7999999992
263,V-23_24,3,MMSBM,Accuracy,134,0.8695652173913043
264,V-23_24,2,MMSBM,Recall,134,0.8888888888888888
265,V-23_24,2,MMSBM,Precision,134,0.9999999987499999
266,V-23_24,2,MMSBM,Accuracy,134,0.9583333333333333
267,V-23_24,4,MMSBM,Recall,134,0.8181818181818182
268,V-23_24,4,MMSBM,Precision,134,0.8999999991
269,V-23_24,4,MMSBM,Accuracy,134,0.8695652173913044
270,V-23_24,1,MMSBM,Recall,139,0.0
271,V-23_24,1,MMSBM,Precision,139,0.0
272,V-23_24,1,MMSBM,Accuracy,139,0.7083333333333334
273,V-23_24,0,MMSBM,Recall,139,0.5
274,V-23_24,0,MMSBM,Precision,139,0.1999999996
275,V-23_24,0,MMSBM,Accuracy,139,0.7916666666666666
276,V-23_24,3,MMSBM,Recall,139,0.2222222222222222
277,V-23_24,3,MMSBM,Precision,139,0.999999995
278,V-23_24,3,MMSBM,Accuracy,139,0.6956521739130435
279,V-23_24,2,MMSBM,Recall,139,0.3333333333333333
280,V-23_24,2,MMSBM,Precision,139,0.249999999375
281,V-23_24,2,MMSBM,Accuracy,139,0.7916666666666666
282,V-23_24,4,MMSBM,Recall,139,0.6
283,V-23_24,4,MMSBM,Precision,139,0.9999999966666667
284,V-23_24,4,MMSBM,Accuracy,139,0.9130434782608696
285,V-23_24,1,MMSBM,Recall,138,0.16666666666666666
286,V-23_24,1,MMSBM,Precision,138,0.9999999900000002
287,V-23_24,1,MMSBM,Accuracy,138,0.7916666666666666
288,V-23_24,0,MMSBM,Recall,138,0.7142857142857143
289,V-23_24,0,MMSBM,Precision,138,0.6249999992187499
290,V-23_24,0,MMSBM,Accuracy,138,0.7916666666666667
291,V-23_24,3,MMSBM,Recall,138,0.16666666666666666
292,V-23_24,3,MMSBM,Precision,138,0.3333333322222222
293,V-23_24,3,MMSBM,Accuracy,138,0.6956521739130435
294,V-23_24,2,MMSBM,Recall,138,0.5
295,V-23_24,2,MMSBM,Precision,138,0.2857142853061225
296,V-23_24,2,MMSBM,Accuracy,138,0.7083333333333334
297,V-23_24,4,MMSBM,Recall,138,0.25
298,V-23_24,4,MMSBM,Precision,138,0.6666666644444444
299,V-23_24,4,MMSBM,Accuracy,138,0.6956521739130435
300,V-23_24,1,MMSBM,Recall,93,0.625
301,V-23_24,1,MMSBM,Precision,93,0.6249999992187499
302,V-23_24,1,MMSBM,Accuracy,93,0.75
303,V-23_24,0,MMSBM,Recall,93,0.3
304,V-23_24,0,MMSBM,Precision,93,0.5999999988
305,V-23_24,0,MMSBM,Accuracy,93,0.625
306,V-23_24,3,MMSBM,Recall,93,0.9090909090909091
307,V-23_24,3,MMSBM,Precision,93,0.9999999989999999
308,V-23_24,3,MMSBM,Accuracy,93,0.9565217391304348
309,V-23_24,2,MMSBM,Recall,93,0.5555555555555556
310,V-23_24,2,MMSBM,Precision,93,0.8333333319444445
311,V-23_24,2,MMSBM,Accuracy,93,0.7916666666666667
312,V-23_24,4,MMSBM,Recall,93,0.5
313,V-23_24,4,MMSBM,Precision,93,0.49999999916666665
314,V-23_24,4,MMSBM,Accuracy,93,0.7391304347826088
315,V-23_24,1,MMSBM,Recall,24,0.875
316,V-23_24,1,MMSBM,Precision,24,0.6363636357851239
317,V-23_24,1,MMSBM,Accuracy,24,0.7916666666666667
318,V-23_24,0,MMSBM,Recall,24,0.7777777777777778
319,V-23_24,0,MMSBM,Precision,24,0.8749999989062499
320,V-23_24,0,MMSBM,Accuracy,24,0.875
321,V-23_24,3,MMSBM,Recall,24,0.7
322,V-23_24,3,MMSBM,Precision,24,0.9999999985714286
323,V-23_24,3,MMSBM,Accuracy,24,0.8695652173913043
324,V-23_24,2,MMSBM,Recall,24,0.7692307692307693
325,V-23_24,2,MMSBM,Precision,24,0.7692307686390532
326,V-23_24,2,MMSBM,Accuracy,24,0.75
327,V-23_24,4,MMSBM,Recall,24,0.6923076923076923
328,V-23_24,4,MMSBM,Precision,24,0.9999999988888888
329,V-23_24,4,MMSBM,Accuracy,24,0.8260869565217391
330,V-23_24,1,MMSBM,Recall,25,0.7777777777777778
331,V-23_24,1,MMSBM,Precision,25,0.6999999992999999
332,V-23_24,1,MMSBM,Accuracy,25,0.7916666666666667
333,V-23_24,0,MMSBM,Recall,25,0.875
334,V-23_24,0,MMSBM,Precision,25,0.8749999989062499
335,V-23_24,0,MMSBM,Accuracy,25,0.9166666666666667
336,V-23_24,3,MMSBM,Recall,25,1.0
337,V-23_24,3,MMSBM,Precision,25,0.9999999975
338,V-23_24,3,MMSBM,Accuracy,25,1.0
339,V-23_24,2,MMSBM,Recall,25,0.7777777777777778
